18FF6C27x,8,0D,FF,00,00.1,00.2,00.3,00.4,00.5
C0027F3x,8,08,D0,07,7D,00,10,28,60
101227F3x,8,11,0F,0F,16,0A,0F,04,05
101627F3x,8,3D,0B,02,3B,0E,06,00,00
182027F3x,8,FC,02,00,00,76,11,5A,19
182127F3x,8,BC,1B,B2,11,64,0A,63,00
182227F3x,8,02,00,00,7D,00,7D,00,00
182327F3x,8,44,01,42,18,DA,07,07,00
182627F3x,8,3C,19,32,00,00,7D,00,7D
101027F3x,8,00,00,00,00,00,00,00,00
10000111x,8,C0,C0,C0,C0,C0,C0,01,00
18FF1027x,5,00,00,00,00,00,,,
615,8,00,00,00,00,00,00,00,00
18FF1727x,8,00,00,00,00,41,10,00,00
1D9,8,34,00,03,00,00,00,00,00
18FF8379x,8,04,00,00,00,00,00,00,00
18FF6A27x,8,00,00,00,00,00,00,00,06
18FF8427x,8,1C,00,09,1C,00,E5,07,00
18FEF71Ex,8,00,00,00,00,EA,01,00,00
095,8,00,00,00,00,00,00,00,00
268,7,4C,B6,23,00,00,00,00,
18FF6E27x,8,00,00,00,00,00,00,00,00
18FF1027x,5,00,00,00,00,00,,,
615,8,00,00,00,00,00,00,00,00
18FF1727x,8,00,00,00,00,41,10,00,00
C01FEFEx,8,00,00,00,00,00,00,00,00
1D9,8,34,00,03,00,00,00,00,00
18FF8379x,8,05,00,00,0E,00,00,10,02
18FF6B27x,8,00,00,00,00,00,00,00,00
18FF2027x,8,00,11,00,02,02,00,00,00
18FFA527x,8,02,00,00,00,00,00,00,00
18FEF71Ex,8,00,00,00,00,EA,01,00,00
18FF8427x,8,1C,00,09,1C,00,E5,07,00
268,7,4D,B6,23,00,00,00,00,
18FF6827x,8,00,00,00,00,00,00,01,01
066,8,02,00,00,00,00,00,00,00
18FF1027x,5,00,00,00,00,00,,,
615,8,00,00,00,00,00,00,00,00
18FF1727x,8,00,00,00,00,41,10,00,00
1D9,8,34,00,03,00,00,00,00,00
18FF8379x,8,06,00,00,00,00,00,00,00
27F72B6x,8,08,00,00,00,00,00,00,00
095,8,00,00,00,00,00,00,00,00
18FF2013x,8,04,E0,00,04,00,58,00,00
18FFA413x,8,1C,FF,10,01,05,00,00,00
18FF6927x,8,FF,00,06,00,00,00,00,00
18FEF71Ex,8,00,00,00,00,EA,01,00,00
18FF8427x,8,1C,00,09,1C,00,E5,07,00
268,7,4E,B6,23,00,00,00,00,
18FF6C27x,8,0D,FF,00,00,00,00,00,00
18FF1027x,5,00,00,00,00,00,,,
615,8,00,00,00,00,00,00,00,00
18FF1727x,8,00,00,00,00,41,10,00,00
1D9,8,34,00,03,00,00,00,00,00
18FF8379x,8,07,10,00,00,10,00,00,00
18FF6A27x,8,00,00,00,00,00,00,00,06
18FF7027x,8,7A,5C,01,5C,0D,00,00,00
18FF6D27x,8,04,54,58,52,09,21,04,11
086,8,0D,00,00,00,00,00,00,00
CFF1227x,8,00,D0,07,00,00,00,00,00
268,7,4F,B6,23,00,00,00,00,
CF11227x,8,01,34,08,00,00,00,00,00
C00F327x,8,00,02,28,28,28,28,00,20
18FF4527x,8,3D,3B,32,00,00,28,3C,80
18FEF71Ex,8,00,00,00,00,EA,01,00,00
18FF8227x,8,0D,00,01,02,00,02,01,00
18FF6E27x,8,00,00,00,00,00,00,00,00
18FF1027x,5,00,00,00,00,00,,,
615,8,00,00,00,00,00,00,00,00
18FF1727x,8,00,00,00,00,41,10,00,00
095,8,00,00,00,00,00,00,00,00
1D9,8,34,00,03,00,00,00,00,00
18FF8379x,8,18,10,00,00,10,00,00,00
18FF6B27x,8,00,00,00,00,00,00,00,00
18FF2027x,8,00,11,00,02,03,00,00,00
18FFA527x,8,02,00,00,00,00,00,00,00
18FEF71Ex,8,00,00,00,00,EA,01,00,00
18FF8227x,8,0D,00,01,02,00,02,01,00
268,7,50,B6,23,00,00,00,00,
18FF6827x,8,00,00,00,00,00,00,01,01
CF11365x,8,0E,00,00,00,00,00,00,00
CF11465x,8,15,87,7F,7D,00,00,7F,7D
066,8,03,00,00,00,00,00,00,00
18FF1027x,5,00,00,00,00,00,,,
615,8,00,00,00,00,00,00,00,00
18FF1727x,8,00,00,00,00,41,10,00,00
1D9,8,34,00,03,00,00,00,00,00
18FF8379x,8,09,A1,01,08,00,00,00,00
27F72B6x,8,00,00,00,00,00,00,00,00
18FF2013x,8,04,E0,00,04,00,68,00,00
18FFA413x,8,1C,FF,10,01,06,00,00,00
18FF6927x,8,FF,00,06,00,00,00,00,00
18FF8227x,8,0D,00,01,02,00,02,01,00
18FEF71Ex,8,00,00,00,00,EB,01,00,00
400,8,00,00,00,00,00,00,00,00
268,7,51,B6,23,00,00,00,00,
CF11366x,8,0E,00,00,00,00,00,00,00
CF11466x,8,1B,87,7F,7D,00,00,80,7D
18FF6C27x,8,0D,FF,00,00,00,00,00,00
095,8,00,00,00,00,00,00,00,00
18FF8C13x,8,0D,00,00,00,00,00,00,00
18FF1027x,5,00,00,00,00,00,,,
A100101x,1,E3,,,,,,,
615,8,00,00,00,00,00,00,00,00
A100100x,8,E3,24,FF,FC,05,00,07,05
18FEF71Ex,8,00,00,00,00,EB,01,00,00
18FF1727x,8,00,00,00,00,41,10,00,00
18FF5838x,8,06,00,00,00,37,00,00,00
7149Ax,8,00,00,00,00,00,00,00,00
069,8,00,00,00,00,00,00,00,00
C01FEFEx,8,00,00,00,00,00,00,00,00
1D9,8,34,00,03,00,00,00,00,00
268,7,52,B6,23,00,00,00,00,
18FF6A27x,8,00,00,00,00,00,00,00,06
18FF8227x,8,0D,00,01,02,00,02,01,00
18FF8379x,8,0A,00,00,00,00,00,00,00
18FF8479x,8,01,00,00,00,00,00,00,00
27F72BAx,8,29,40,05,18,0B,00,00,00
610,8,00,00,00,00,00,00,00,00
18FF6E27x,8,00,00,00,00,00,00,00,00
18FF1027x,5,00,00,00,00,00,,,
615,8,00,00,00,00,00,00,00,00
18FF1727x,8,00,00,00,00,41,10,00,00
1D9,8,34,00,03,00,00,00,00,00
18FF8379x,8,0B,00,00,00,40,08,00,00
